,label,area,mean_intensity,weighted_centroid-0,weighted_centroid-1,target_intensity,target_log_intensity,SBR,size_fraction,expressed,normalized_target_log_intensity
124,125,106.0,491.10377358490564,280.25679543577235,509.5308411933073,781.0377358490566,6.660623466020785,1.265495364818581,0.5943396226415094,True,0.09017134185859321
137,138,16.0,468.875,297.4738736336977,54.5089309517462,730.9375,6.594327956778498,1.2940883012279807,0.4375,True,0.07932048613336473
138,139,111.0,483.9099099099099,303.0676359980638,176.58087277059985,2220.6666666666665,7.705562730085515,2.4004185095886883,1.0,True,0.261200802610672
151,152,112.0,490.38392857142856,326.613841195856,548.144657065346,882.8928571428571,6.783203853652653,1.3750806458181042,0.8660714285714286,True,0.11023457262849212
153,154,90.0,493.4555555555556,332.26506946477224,380.7299092567157,799.0333333333333,6.683402663711255,1.3055154368255848,0.43333333333333335,True,0.09389970582322338
156,157,24.0,489.5,345.09516513449097,737.0674157303371,847.6666666666666,6.74248747675401,1.3882818997382051,1.0,True,0.10357035756429323
158,159,39.0,487.56410256410254,350.9210623192217,786.57033920589,1316.7179487179487,7.182897516861968,2.1285136667675593,1.0,True,0.17565406066533717
164,165,138.0,488.0652173913044,366.7140736121628,999.643609044883,830.9565217391304,6.722577473076496,1.352788406340413,0.7536231884057971,True,0.10031160625726376
167,168,76.0,480.9868421052632,370.60932840924636,222.82732868280672,5978.894736842105,8.695991003247102,3.2798094570398404,1.0,True,0.42330822770016097
168,169,93.0,474.18279569892474,376.47289054173564,927.4747726705821,882.3440860215054,6.782582100135477,1.4596269986688724,0.978494623655914,True,0.110132807700692
169,170,133.0,486.5112781954887,377.02650449726457,1261.4395728371403,798.4436090225564,6.682664344024842,1.2622779082491038,0.5037593984962406,True,0.09377886203624697
181,182,159.0,495.0377358490566,398.01961606382844,1188.4345136003863,1047.6666666666667,6.954320748129458,1.5188293508317001,0.8238993710691824,True,0.13824197094760193
188,189,98.0,478.53061224489795,422.00522432616856,1054.450997952917,788.9183673469388,6.670662852054556,1.2716793547090168,0.5714285714285714,True,0.09181452901662812
190,191,219.0,579.4885844748859,425.6468150156019,1230.7540501780818,2444.406392694064,7.801557588257917,2.076063346920062,0.8584474885844748,True,0.2769126716090038
